,Source,Tweet,Date,Compound Analysis,Positive,Negative,Neutral,Tweets Ago
64,@BBC,"Last year @higeorgeshelley's sister died in an accident. 

He opens up about grief and how to cope.

https://t.co/4SajjiJI6e",Mon Oct 01 07:03:05 +0000 2018,-0.872,0.0,0.398,0.602,65
65,@BBC,"RT @BBCOne: “I see women out with their babies walking around like it’s nothing… I just want to yell out at them, “You’re amazing!” @Jenna_…",Sun Sep 30 20:21:03 +0000 2018,0.4753,0.157,0.0,0.843,66
66,@BBC,RT @bbcstrictly: Wow. #Strictly Movie Week looks wand-erful! 🧙‍♂️✨ https://t.co/3Iko29h06s,Sun Sep 30 19:39:53 +0000 2018,0.6239,0.313,0.0,0.687,67
67,@BBC,"A mother’s life disintegrates while the world looks on. 

#TheCry | 9pm | @BBCOne | https://t.co/hDRdVsMamq https://t.co/2SrLnoKGLi",Sun Sep 30 19:03:02 +0000 2018,0.0,0.0,0.0,1.0,68
68,@BBC,Tonight it's the first @BBCStrictly results show! Find out which couples have made it through and which two will be… https://t.co/vytPpS8tTl,Sun Sep 30 17:16:03 +0000 2018,0.0,0.0,0.0,1.0,69
69,@BBC,"RT @BBCOne: #TheCry ""is the perfect replacement for #Bodyguard, a twisting, turning whodunit that leaves you questioning everybody."" The Te…",Sun Sep 30 16:22:42 +0000 2018,0.5106,0.167,0.063,0.769,70
70,@BBC,"RT @BBCOne: To mark 30 years in music, we’re making a @takethat documentary special and WE NEED YOU! 

Head to https://t.co/WiKSYB8coP to s…",Sun Sep 30 16:22:25 +0000 2018,0.4574,0.125,0.0,0.875,71
71,@BBC,"🕺✨ @Joe_Sugg says he worried that he was the 'joke act' in this year's #Strictly. 

https://t.co/FmKBnEJeoX https://t.co/O1GfHHBJud",Sun Sep 30 16:01:09 +0000 2018,0.0,0.113,0.113,0.773,72
72,@BBC,"This is the incredible story of how London dug the Victoria Line! 🚇

https://t.co/F8MsetBclS",Sun Sep 30 15:03:03 +0000 2018,0.0,0.0,0.0,1.0,73
73,@BBC,"In Japan, 'aki no koe' refers to autumn's voice, which incorporates all the sounds of the season: the wind rustling… https://t.co/2fynWfK1Wu",Sun Sep 30 14:02:04 +0000 2018,-0.296,0.0,0.099,0.901,74
74,@BBC,"""Dyslexia tries to kick my butt daily - but I won't let it beat me"". 

https://t.co/EmtRJC2V5G",Sun Sep 30 13:06:04 +0000 2018,0.0,0.0,0.0,1.0,75
75,@BBC,Kanye West is changing his name... to Ye. https://t.co/TMRrrzJuKX https://t.co/0ZkgnEbFkA,Sun Sep 30 12:44:04 +0000 2018,0.0,0.0,0.0,1.0,76
76,@BBC,The lush green mosses of East Antarctica are finally succumbing to climate change. 💔 https://t.co/z7j8jcx6TO https://t.co/r7C9gypVhC,Sun Sep 30 12:31:04 +0000 2018,-0.4767,0.0,0.162,0.838,77
77,@BBC,"Going on a night out can be challenging when you're a wheelchair user. 

https://t.co/YvvQ1SnosW",Sun Sep 30 11:02:01 +0000 2018,0.1531,0.127,0.0,0.873,78
78,@BBC,"This is disgusting. 😔

The Citarum River in Indonesia is one of the dirtiest rivers in the world. 

Plastic polluti… https://t.co/F6z2NpXseT",Sun Sep 30 10:00:00 +0000 2018,-0.7579,0.048,0.251,0.701,79
79,@BBC,"🐻 Say hello to Kyra the sun bear... 

https://t.co/UvDxsG3QO1",Sun Sep 30 09:04:02 +0000 2018,0.0,0.0,0.0,1.0,80
80,@BBC,RT @BBCWorld: Indonesia quake death toll 'at least 832' https://t.co/1VCcXxRrR4,Sun Sep 30 08:30:16 +0000 2018,-0.5994,0.0,0.302,0.698,81
81,@BBC,"For children with autism, the stress of taking photos can be overwhelming. To make things easier, eight-year-old Le… https://t.co/U3hpweRK0D",Sun Sep 30 07:31:05 +0000 2018,0.0,0.124,0.124,0.752,82
82,@BBC,"This. Is. Amazing. 😮

Introducing the World Pole Climbing Championships...

https://t.co/osulkhFFhQ",Sun Sep 30 07:04:02 +0000 2018,0.5859,0.226,0.0,0.774,83
83,@BBC,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo,Sat Sep 29 20:32:03 +0000 2018,0.4215,0.257,0.0,0.743,84
84,@BBC,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish ar… https://t.co/KzMHUIysAO,Sat Sep 29 17:02:12 +0000 2018,0.4215,0.135,0.0,0.865,85
85,@BBC,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",Sat Sep 29 16:01:07 +0000 2018,-0.7003,0.0,0.293,0.707,86
86,@BBC,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",Sat Sep 29 15:54:38 +0000 2018,0.5499,0.129,0.0,0.871,87
87,@BBC,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT",Sat Sep 29 15:02:04 +0000 2018,0.7088,0.329,0.0,0.671,88
88,@BBC,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY",Sat Sep 29 14:03:07 +0000 2018,0.0,0.0,0.0,1.0,89
89,@BBC,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6",Sat Sep 29 13:01:07 +0000 2018,-0.5256,0.0,0.253,0.747,90
90,@BBC,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR",Sat Sep 29 11:03:02 +0000 2018,-0.186,0.156,0.227,0.616,91
91,@BBC,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their t… https://t.co/VXY3jdCbEu",Sat Sep 29 10:03:05 +0000 2018,0.4939,0.181,0.0,0.819,92
92,@BBC,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc",Sat Sep 29 09:01:02 +0000 2018,-0.5267,0.0,0.254,0.746,93
93,@BBC,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…,Sat Sep 29 08:11:46 +0000 2018,0.6808,0.237,0.0,0.763,94
94,@BBC,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",Sat Sep 29 08:05:03 +0000 2018,-0.1022,0.118,0.136,0.746,95
95,@BBC,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",Sat Sep 29 07:03:06 +0000 2018,0.0,0.0,0.0,1.0,96
96,@BBC,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/827iYwzryJ",Sat Sep 29 06:31:00 +0000 2018,0.0,0.0,0.0,1.0,97
97,@BBC,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort… https://t.co/prBbKLrkaO",Fri Sep 28 20:31:03 +0000 2018,0.3595,0.135,0.0,0.865,98
98,@BBC,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three r… https://t.co/mLCixMGG8v",Fri Sep 28 18:32:03 +0000 2018,-0.126,0.065,0.089,0.846,99
99,@BBC,"Science has confirmed: cats are nice. 😻

https://t.co/nTtAUxYl6v https://t.co/kI8XYPICjA",Fri Sep 28 16:03:07 +0000 2018,0.7003,0.345,0.0,0.655,100
100,@CBS,@shygirlsue @Ranker And we couldn't be prouder of you.😊 https://t.co/Rt9bRkv32J,Thu Oct 04 00:34:37 +0000 2018,-0.3875,0.0,0.226,0.774,1
101,@CBS,@suferah_khan https://t.co/hkLN6VK6WI,Wed Oct 03 23:45:21 +0000 2018,0.0,0.0,0.0,1.0,2
102,@CBS,.@Ranker is ranking the best CBS shows of all time. Did your favorites make the list? https://t.co/D3ZrfZK0Q9,Wed Oct 03 23:39:03 +0000 2018,0.7906,0.318,0.0,0.682,3
103,@CBS,".@CrimMinds_CBS returns tonight for its 300th episode. In honor of the milestone season premiere, the cast has a me… https://t.co/o9aKkBKKtw",Wed Oct 03 19:35:31 +0000 2018,0.4939,0.151,0.0,0.849,4
104,@CBS,".@wayansjr debuted his perfect impression of his father on @colbertlateshow but everybody, be cool, and don't tell… https://t.co/MWa9UNOORj",Wed Oct 03 17:05:20 +0000 2018,0.6956,0.31,0.0,0.69,5
